s[m],betax[m],betay[m],dx[m],alphax[-],alphay[-],dpx[-]
0.2500000000,2.4274194775,5.5656518732,0.5709327438,-1.0773752980,1.9163517792,0.1457853459
1.2500000000,5.3703377882,2.5724553929,0.7874686384,-1.8412985764,1.0768447011,0.2863956096
1.4500000000,6.1395581819,2.1752977956,0.8447477604,-2.0048033919,0.9089432855,0.2863956096
1.5500000000,6.5486941010,2.0019042093,0.8733873213,-2.0865557997,0.8249925777,0.2863956096
1.7500000000,7.4160173840,1.7054874613,0.9306664432,-2.2500606152,0.6570911621,0.2863956096
2.2500000000,7.4160173840,1.7054874613,0.9306664432,2.2500606152,-0.6570911621,-0.2863956096
2.7500000000,5.3703377882,2.5724553929,0.7874686384,1.8412985764,-1.0768447011,-0.2863956096
3.7500000000,2.4274194775,5.5656518732,0.5709327438,1.0773752980,-1.9163517792,-0.1457853459
3.9500000000,2.0320748653,6.3657728680,0.5417756746,0.8993477628,-2.0842531948,-0.1457853459
4.0500000000,1.8611066895,6.7910185777,0.5271971400,0.8103339951,-2.1682039026,-0.1457853459
4.2500000000,1.5725785985,7.6918804219,0.4980400708,0.6323064599,-2.3361053182,-0.1457853459
4.7500000000,1.5725785985,7.6918804219,0.4980400708,-0.6323064599,2.3361053182,0.1457853459
5.0000000000,1.9443654332,6.5762969551,0.5344864073,-0.8548408790,2.1262285487,0.1457853459
5.2500000000,2.4274194775,5.5656518732,0.5709327438,-1.0773752980,1.9163517792,0.1457853459
6.2500000000,5.3703377882,2.5724553929,0.7874686384,-1.8412985764,1.0768447011,0.2863956096
6.4500000000,6.1395581819,2.1752977956,0.8447477604,-2.0048033919,0.9089432855,0.2863956096
6.5500000000,6.5486941010,2.0019042093,0.8733873213,-2.0865557997,0.8249925777,0.2863956096
6.7500000000,7.4160173840,1.7054874613,0.9306664432,-2.2500606152,0.6570911621,0.2863956096
7.2500000000,7.4160173840,1.7054874613,0.9306664432,2.2500606152,-0.6570911621,-0.2863956096
7.7500000000,5.3703377882,2.5724553929,0.7874686384,1.8412985764,-1.0768447011,-0.2863956096
8.7500000000,2.4274194775,5.5656518732,0.5709327438,1.0773752980,-1.9163517792,-0.1457853459
8.9500000000,2.0320748653,6.3657728680,0.5417756746,0.8993477628,-2.0842531948,-0.1457853459
9.0500000000,1.8611066895,6.7910185777,0.5271971400,0.8103339951,-2.1682039026,-0.1457853459
9.2500000000,1.5725785985,7.6918804219,0.4980400708,0.6323064599,-2.3361053182,-0.1457853459
9.7500000000,1.5725785985,7.6918804219,0.4980400708,-0.6323064599,2.3361053182,0.1457853459
10.0000000000,1.9443654332,6.5762969551,0.5344864073,-0.8548408790,2.1262285487,0.1457853459
10.2500000000,2.4274194775,5.5656518732,0.5709327438,-1.0773752980,1.9163517792,0.1457853459
11.2500000000,5.3703377882,2.5724553929,0.7874686384,-1.8412985764,1.0768447011,0.2863956096
11.4500000000,6.1395581819,2.1752977956,0.8447477604,-2.0048033919,0.9089432855,0.2863956096
11.5500000000,6.5486941010,2.0019042093,0.8733873213,-2.0865557997,0.8249925777,0.2863956096
11.7500000000,7.4160173840,1.7054874613,0.9306664432,-2.2500606152,0.6570911621,0.2863956096
12.2500000000,7.4160173840,1.7054874613,0.9306664432,2.2500606152,-0.6570911621,-0.2863956096
12.7500000000,5.3703377882,2.5724553929,0.7874686384,1.8412985764,-1.0768447011,-0.2863956096
13.7500000000,2.4274194775,5.5656518732,0.5709327438,1.0773752980,-1.9163517792,-0.1457853459
13.9500000000,2.0320748653,6.3657728680,0.5417756746,0.8993477628,-2.0842531948,-0.1457853459
14.0500000000,1.8611066895,6.7910185777,0.5271971400,0.8103339951,-2.1682039026,-0.1457853459
14.2500000000,1.5725785985,7.6918804219,0.4980400708,0.6323064599,-2.3361053182,-0.1457853459
14.7500000000,1.5725785985,7.6918804219,0.4980400708,-0.6323064599,2.3361053182,0.1457853459
15.0000000000,1.9443654332,6.5762969551,0.5344864073,-0.8548408790,2.1262285487,0.1457853459
15.2500000000,2.4274194775,5.5656518732,0.5709327438,-1.0773752980,1.9163517792,0.1457853459
16.2500000000,5.3703377882,2.5724553929,0.7874686384,-1.8412985764,1.0768447011,0.2863956096
16.4500000000,6.1395581819,2.1752977956,0.8447477604,-2.0048033919,0.9089432855,0.2863956096
16.5500000000,6.5486941010,2.0019042093,0.8733873213,-2.0865557997,0.8249925777,0.2863956096
16.7500000000,7.4160173840,1.7054874613,0.9306664432,-2.2500606152,0.6570911621,0.2863956096
17.2500000000,7.4160173840,1.7054874613,0.9306664432,2.2500606152,-0.6570911621,-0.2863956096
17.7500000000,5.3703377882,2.5724553929,0.7874686384,1.8412985764,-1.0768447011,-0.2863956096
18.7500000000,2.4274194775,5.5656518732,0.5709327438,1.0773752980,-1.9163517792,-0.1457853459
18.9500000000,2.0320748653,6.3657728680,0.5417756746,0.8993477628,-2.0842531948,-0.1457853459
19.0500000000,1.8611066895,6.7910185777,0.5271971400,0.8103339951,-2.1682039026,-0.1457853459
19.2500000000,1.5725785985,7.6918804219,0.4980400708,0.6323064599,-2.3361053182,-0.1457853459
19.7500000000,1.5725785985,7.6918804219,0.4980400708,-0.6323064599,2.3361053182,0.1457853459
20.0000000000,1.9443654332,6.5762969551,0.5344864073,-0.8548408790,2.1262285487,0.1457853459
20.2500000000,2.4274194775,5.5656518732,0.5709327438,-1.0773752980,1.9163517792,0.1457853459
21.2500000000,5.3703377882,2.5724553929,0.7874686384,-1.8412985764,1.0768447011,0.2863956096
21.4500000000,6.1395581819,2.1752977956,0.8447477604,-2.0048033919,0.9089432855,0.2863956096
21.5500000000,6.5486941010,2.0019042093,0.8733873213,-2.0865557997,0.8249925777,0.2863956096
21.7500000000,7.4160173840,1.7054874613,0.9306664432,-2.2500606152,0.6570911621,0.2863956096
22.2500000000,7.4160173840,1.7054874613,0.9306664432,2.2500606152,-0.6570911621,-0.2863956096
22.7500000000,5.3703377882,2.5724553929,0.7874686384,1.8412985764,-1.0768447011,-0.2863956096
23.7500000000,2.4274194775,5.5656518732,0.5709327438,1.0773752980,-1.9163517792,-0.1457853459
23.9500000000,2.0320748653,6.3657728680,0.5417756746,0.8993477628,-2.0842531948,-0.1457853459
24.0500000000,1.8611066895,6.7910185777,0.5271971400,0.8103339951,-2.1682039026,-0.1457853459
24.2500000000,1.5725785985,7.6918804219,0.4980400708,0.6323064599,-2.3361053182,-0.1457853459
24.7500000000,1.5725785985,7.6918804219,0.4980400708,-0.6323064599,2.3361053182,0.1457853459
25.0000000000,1.9443654332,6.5762969551,0.5344864073,-0.8548408790,2.1262285487,0.1457853459
25.2500000000,2.4274194775,5.5656518732,0.5709327438,-1.0773752980,1.9163517792,0.1457853459
26.2500000000,5.3703377882,2.5724553929,0.7874686384,-1.8412985764,1.0768447011,0.2863956096
26.4500000000,6.1395581819,2.1752977956,0.8447477604,-2.0048033919,0.9089432855,0.2863956096
26.5500000000,6.5486941010,2.0019042093,0.8733873213,-2.0865557997,0.8249925777,0.2863956096
26.7500000000,7.4160173840,1.7054874613,0.9306664432,-2.2500606152,0.6570911621,0.2863956096
27.2500000000,7.4160173840,1.7054874613,0.9306664432,2.2500606152,-0.6570911621,-0.2863956096
27.7500000000,5.3703377882,2.5724553929,0.7874686384,1.8412985764,-1.0768447011,-0.2863956096
28.7500000000,2.4274194775,5.5656518732,0.5709327438,1.0773752980,-1.9163517792,-0.1457853459
28.9500000000,2.0320748653,6.3657728680,0.5417756746,0.8993477628,-2.0842531948,-0.1457853459
29.0500000000,1.8611066895,6.7910185777,0.5271971400,0.8103339951,-2.1682039026,-0.1457853459
29.2500000000,1.5725785985,7.6918804219,0.4980400708,0.6323064599,-2.3361053182,-0.1457853459
29.7500000000,1.5725785985,7.6918804219,0.4980400708,-0.6323064599,2.3361053182,0.1457853459
30.0000000000,1.9443654332,6.5762969551,0.5344864073,-0.8548408790,2.1262285487,0.1457853459
30.2500000000,2.4274194775,5.5656518732,0.5709327438,-1.0773752980,1.9163517792,0.1457853459
31.2500000000,5.3703377882,2.5724553929,0.7874686384,-1.8412985764,1.0768447011,0.2863956096
31.4500000000,6.1395581819,2.1752977956,0.8447477604,-2.0048033919,0.9089432855,0.2863956096
31.5500000000,6.5486941010,2.0019042093,0.8733873213,-2.0865557997,0.8249925777,0.2863956096
31.7500000000,7.4160173840,1.7054874613,0.9306664432,-2.2500606152,0.6570911621,0.2863956096
32.2500000000,7.4160173840,1.7054874613,0.9306664432,2.2500606152,-0.6570911621,-0.2863956096
32.7500000000,5.3703377882,2.5724553929,0.7874686384,1.8412985764,-1.0768447011,-0.2863956096
33.7500000000,2.4274194775,5.5656518732,0.5709327438,1.0773752980,-1.9163517792,-0.1457853459
33.9500000000,2.0320748653,6.3657728680,0.5417756746,0.8993477628,-2.0842531948,-0.1457853459
34.0500000000,1.8611066895,6.7910185777,0.5271971400,0.8103339951,-2.1682039026,-0.1457853459
34.2500000000,1.5725785985,7.6918804219,0.4980400708,0.6323064599,-2.3361053182,-0.1457853459
34.7500000000,1.5725785985,7.6918804219,0.4980400708,-0.6323064599,2.3361053182,0.1457853459
35.0000000000,1.9443654332,6.5762969551,0.5344864073,-0.8548408790,2.1262285487,0.1457853459
35.2500000000,2.4274194775,5.5656518732,0.5709327438,-1.0773752980,1.9163517792,0.1457853459
36.2500000000,5.3703377882,2.5724553929,0.7874686384,-1.8412985764,1.0768447011,0.2863956096
36.4500000000,6.1395581819,2.1752977956,0.8447477604,-2.0048033919,0.9089432855,0.2863956096
36.5500000000,6.5486941010,2.0019042093,0.8733873213,-2.0865557997,0.8249925777,0.2863956096
36.7500000000,7.4160173840,1.7054874613,0.9306664432,-2.2500606152,0.6570911621,0.2863956096
37.2500000000,7.4160173840,1.7054874613,0.9306664432,2.2500606152,-0.6570911621,-0.2863956096
37.7500000000,5.3703377882,2.5724553929,0.7874686384,1.8412985764,-1.0768447011,-0.2863956096
38.7500000000,2.4274194775,5.5656518732,0.5709327438,1.0773752980,-1.9163517792,-0.1457853459
38.9500000000,2.0320748653,6.3657728680,0.5417756746,0.8993477628,-2.0842531948,-0.1457853459
39.0500000000,1.8611066895,6.7910185777,0.5271971400,0.8103339951,-2.1682039026,-0.1457853459
39.2500000000,1.5725785985,7.6918804219,0.4980400708,0.6323064599,-2.3361053182,-0.1457853459
39.7500000000,1.5725785985,7.6918804219,0.4980400708,-0.6323064599,2.3361053182,0.1457853459
40.0000000000,1.9443654332,6.5762969551,0.5344864073,-0.8548408790,2.1262285487,0.1457853459
40.2500000000,2.4274194775,5.5656518732,0.5709327438,-1.0773752980,1.9163517792,0.1457853459
41.2500000000,5.3703377882,2.5724553929,0.7874686384,-1.8412985764,1.0768447011,0.2863956096
41.4500000000,6.1395581819,2.1752977956,0.8447477604,-2.0048033919,0.9089432855,0.2863956096
41.5500000000,6.5486941010,2.0019042093,0.8733873213,-2.0865557997,0.8249925777,0.2863956096
41.7500000000,7.4160173840,1.7054874613,0.9306664432,-2.2500606152,0.6570911621,0.2863956096
42.2500000000,7.4160173840,1.7054874613,0.9306664432,2.2500606152,-0.6570911621,-0.2863956096
42.7500000000,5.3703377882,2.5724553929,0.7874686384,1.8412985764,-1.0768447011,-0.2863956096
43.7500000000,2.4274194775,5.5656518732,0.5709327438,1.0773752980,-1.9163517792,-0.1457853459
43.9500000000,2.0320748653,6.3657728680,0.5417756746,0.8993477628,-2.0842531948,-0.1457853459
44.0500000000,1.8611066895,6.7910185777,0.5271971400,0.8103339951,-2.1682039026,-0.1457853459
44.2500000000,1.5725785985,7.6918804219,0.4980400708,0.6323064599,-2.3361053182,-0.1457853459
44.7500000000,1.5725785985,7.6918804219,0.4980400708,-0.6323064599,2.3361053182,0.1457853459
45.0000000000,1.9443654332,6.5762969551,0.5344864073,-0.8548408790,2.1262285487,0.1457853459
45.2500000000,2.4274194775,5.5656518732,0.5709327438,-1.0773752980,1.9163517792,0.1457853459
46.2500000000,5.3703377882,2.5724553929,0.7874686384,-1.8412985764,1.0768447011,0.2863956096
46.4500000000,6.1395581819,2.1752977956,0.8447477604,-2.0048033919,0.9089432855,0.2863956096
46.5500000000,6.5486941010,2.0019042093,0.8733873213,-2.0865557997,0.8249925777,0.2863956096
46.7500000000,7.4160173840,1.7054874613,0.9306664432,-2.2500606152,0.6570911621,0.2863956096
47.2500000000,7.4160173840,1.7054874613,0.9306664432,2.2500606152,-0.6570911621,-0.2863956096
47.7500000000,5.3703377882,2.5724553929,0.7874686384,1.8412985764,-1.0768447011,-0.2863956096
48.7500000000,2.4274194775,5.5656518732,0.5709327438,1.0773752980,-1.9163517792,-0.1457853459
48.9500000000,2.0320748653,6.3657728680,0.5417756746,0.8993477628,-2.0842531948,-0.1457853459
49.0500000000,1.8611066895,6.7910185777,0.5271971400,0.8103339951,-2.1682039026,-0.1457853459
49.2500000000,1.5725785985,7.6918804219,0.4980400708,0.6323064599,-2.3361053182,-0.1457853459
49.7500000000,1.5725785985,7.6918804219,0.4980400708,-0.6323064599,2.3361053182,0.1457853459
50.0000000000,1.9443654332,6.5762969551,0.5344864073,-0.8548408790,2.1262285487,0.1457853459
50.2500000000,2.4274194775,5.5656518732,0.5709327438,-1.0773752980,1.9163517792,0.1457853459
51.2500000000,5.3703377882,2.5724553929,0.7874686384,-1.8412985764,1.0768447011,0.2863956096
51.4500000000,6.1395581819,2.1752977956,0.8447477604,-2.0048033919,0.9089432855,0.2863956096
51.5500000000,6.5486941010,2.0019042093,0.8733873213,-2.0865557997,0.8249925777,0.2863956096
51.7500000000,7.4160173840,1.7054874613,0.9306664432,-2.2500606152,0.6570911621,0.2863956096
52.2500000000,7.4160173840,1.7054874613,0.9306664432,2.2500606152,-0.6570911621,-0.2863956096
52.7500000000,5.3703377882,2.5724553929,0.7874686384,1.8412985764,-1.0768447011,-0.2863956096
53.7500000000,2.4274194775,5.5656518732,0.5709327438,1.0773752980,-1.9163517792,-0.1457853459
53.9500000000,2.0320748653,6.3657728680,0.5417756746,0.8993477628,-2.0842531948,-0.1457853459
54.0500000000,1.8611066895,6.7910185777,0.5271971400,0.8103339951,-2.1682039026,-0.1457853459
54.2500000000,1.5725785985,7.6918804219,0.4980400708,0.6323064599,-2.3361053182,-0.1457853459
54.7500000000,1.5725785985,7.6918804219,0.4980400708,-0.6323064599,2.3361053182,0.1457853459
55.0000000000,1.9443654332,6.5762969551,0.5344864073,-0.8548408790,2.1262285487,0.1457853459
55.2500000000,2.4274194775,5.5656518732,0.5709327438,-1.0773752980,1.9163517792,0.1457853459
56.2500000000,5.3703377882,2.5724553929,0.7874686384,-1.8412985764,1.0768447011,0.2863956096
56.4500000000,6.1395581819,2.1752977956,0.8447477604,-2.0048033919,0.9089432855,0.2863956096
56.5500000000,6.5486941010,2.0019042093,0.8733873213,-2.0865557997,0.8249925777,0.2863956096
56.7500000000,7.4160173840,1.7054874613,0.9306664432,-2.2500606152,0.6570911621,0.2863956096
57.2500000000,7.4160173840,1.7054874613,0.9306664432,2.2500606152,-0.6570911621,-0.2863956096
57.7500000000,5.3703377882,2.5724553929,0.7874686384,1.8412985764,-1.0768447011,-0.2863956096
58.7500000000,2.4274194775,5.5656518732,0.5709327438,1.0773752980,-1.9163517792,-0.1457853459
58.9500000000,2.0320748653,6.3657728680,0.5417756746,0.8993477628,-2.0842531948,-0.1457853459
59.0500000000,1.8611066895,6.7910185777,0.5271971400,0.8103339951,-2.1682039026,-0.1457853459
59.2500000000,1.5725785985,7.6918804219,0.4980400708,0.6323064599,-2.3361053182,-0.1457853459
59.7500000000,1.5725785985,7.6918804219,0.4980400708,-0.6323064599,2.3361053182,0.1457853459
60.0000000000,1.9443654332,6.5762969551,0.5344864073,-0.8548408790,2.1262285487,0.1457853459
60.2500000000,2.4274194775,5.5656518732,0.5709327438,-1.0773752980,1.9163517792,0.1457853459
61.2500000000,5.3703377882,2.5724553929,0.7874686384,-1.8412985764,1.0768447011,0.2863956096
61.4500000000,6.1395581819,2.1752977956,0.8447477604,-2.0048033919,0.9089432855,0.2863956096
61.5500000000,6.5486941010,2.0019042093,0.8733873213,-2.0865557997,0.8249925777,0.2863956096
61.7500000000,7.4160173840,1.7054874613,0.9306664432,-2.2500606152,0.6570911621,0.2863956096
62.2500000000,7.4160173840,1.7054874613,0.9306664432,2.2500606152,-0.6570911621,-0.2863956096
62.7500000000,5.3703377882,2.5724553929,0.7874686384,1.8412985764,-1.0768447011,-0.2863956096
63.7500000000,2.4274194775,5.5656518732,0.5709327438,1.0773752980,-1.9163517792,-0.1457853459
63.9500000000,2.0320748653,6.3657728680,0.5417756746,0.8993477628,-2.0842531948,-0.1457853459
64.0500000000,1.8611066895,6.7910185777,0.5271971400,0.8103339951,-2.1682039026,-0.1457853459
64.2500000000,1.5725785985,7.6918804219,0.4980400708,0.6323064599,-2.3361053182,-0.1457853459
64.7500000000,1.5725785985,7.6918804219,0.4980400708,-0.6323064599,2.3361053182,0.1457853459
65.0000000000,1.9443654332,6.5762969551,0.5344864073,-0.8548408790,2.1262285487,0.1457853459
65.2500000000,2.4274194775,5.5656518732,0.5709327438,-1.0773752980,1.9163517792,0.1457853459
66.2500000000,5.3703377882,2.5724553929,0.7874686384,-1.8412985764,1.0768447011,0.2863956096
66.4500000000,6.1395581819,2.1752977956,0.8447477604,-2.0048033919,0.9089432855,0.2863956096
66.5500000000,6.5486941010,2.0019042093,0.8733873213,-2.0865557997,0.8249925777,0.2863956096
66.7500000000,7.4160173840,1.7054874613,0.9306664432,-2.2500606152,0.6570911621,0.2863956096
67.2500000000,7.4160173840,1.7054874613,0.9306664432,2.2500606152,-0.6570911621,-0.2863956096
67.7500000000,5.3703377882,2.5724553929,0.7874686384,1.8412985764,-1.0768447011,-0.2863956096
68.7500000000,2.4274194775,5.5656518732,0.5709327438,1.0773752980,-1.9163517792,-0.1457853459
68.9500000000,2.0320748653,6.3657728680,0.5417756746,0.8993477628,-2.0842531948,-0.1457853459
69.0500000000,1.8611066895,6.7910185777,0.5271971400,0.8103339951,-2.1682039026,-0.1457853459
69.2500000000,1.5725785985,7.6918804219,0.4980400708,0.6323064599,-2.3361053182,-0.1457853459
69.7500000000,1.5725785985,7.6918804219,0.4980400708,-0.6323064599,2.3361053182,0.1457853459
70.0000000000,1.9443654332,6.5762969551,0.5344864073,-0.8548408790,2.1262285487,0.1457853459
70.2500000000,2.4274194775,5.5656518732,0.5709327438,-1.0773752980,1.9163517792,0.1457853459
71.2500000000,5.3703377882,2.5724553929,0.7874686384,-1.8412985764,1.0768447011,0.2863956096
71.4500000000,6.1395581819,2.1752977956,0.8447477604,-2.0048033919,0.9089432855,0.2863956096
71.5500000000,6.5486941010,2.0019042093,0.8733873213,-2.0865557997,0.8249925777,0.2863956096
71.7500000000,7.4160173840,1.7054874613,0.9306664432,-2.2500606152,0.6570911621,0.2863956096
72.2500000000,7.4160173840,1.7054874613,0.9306664432,2.2500606152,-0.6570911621,-0.2863956096
72.7500000000,5.3703377882,2.5724553929,0.7874686384,1.8412985764,-1.0768447011,-0.2863956096
73.7500000000,2.4274194775,5.5656518732,0.5709327438,1.0773752980,-1.9163517792,-0.1457853459
73.9500000000,2.0320748653,6.3657728680,0.5417756746,0.8993477628,-2.0842531948,-0.1457853459
74.0500000000,1.8611066895,6.7910185777,0.5271971400,0.8103339951,-2.1682039026,-0.1457853459
74.2500000000,1.5725785985,7.6918804219,0.4980400708,0.6323064599,-2.3361053182,-0.1457853459
74.7500000000,1.5725785985,7.6918804219,0.4980400708,-0.6323064599,2.3361053182,0.1457853459
75.0000000000,1.9443654332,6.5762969551,0.5344864073,-0.8548408790,2.1262285487,0.1457853459
75.2500000000,2.4274194775,5.5656518732,0.5709327438,-1.0773752980,1.9163517792,0.1457853459
76.2500000000,5.3703377882,2.5724553929,0.7874686384,-1.8412985764,1.0768447011,0.2863956096
76.4500000000,6.1395581819,2.1752977956,0.8447477604,-2.0048033919,0.9089432855,0.2863956096
76.5500000000,6.5486941010,2.0019042093,0.8733873213,-2.0865557997,0.8249925777,0.2863956096
76.7500000000,7.4160173840,1.7054874613,0.9306664432,-2.2500606152,0.6570911621,0.2863956096
77.2500000000,7.4160173840,1.7054874613,0.9306664432,2.2500606152,-0.6570911621,-0.2863956096
77.7500000000,5.3703377882,2.5724553929,0.7874686384,1.8412985764,-1.0768447011,-0.2863956096
78.7500000000,2.4274194775,5.5656518732,0.5709327438,1.0773752980,-1.9163517792,-0.1457853459
78.9500000000,2.0320748653,6.3657728680,0.5417756746,0.8993477628,-2.0842531948,-0.1457853459
79.0500000000,1.8611066895,6.7910185777,0.5271971400,0.8103339951,-2.1682039026,-0.1457853459
79.2500000000,1.5725785985,7.6918804219,0.4980400708,0.6323064599,-2.3361053182,-0.1457853459
79.7500000000,1.5725785985,7.6918804219,0.4980400708,-0.6323064599,2.3361053182,0.1457853459
80.0000000000,1.9443654332,6.5762969551,0.5344864073,-0.8548408790,2.1262285487,0.1457853459
80.2500000000,2.4274194775,5.5656518732,0.5709327438,-1.0773752980,1.9163517792,0.1457853459
81.2500000000,5.3703377882,2.5724553929,0.7874686384,-1.8412985764,1.0768447011,0.2863956096
81.4500000000,6.1395581819,2.1752977956,0.8447477604,-2.0048033919,0.9089432855,0.2863956096
81.5500000000,6.5486941010,2.0019042093,0.8733873213,-2.0865557997,0.8249925777,0.2863956096
81.7500000000,7.4160173840,1.7054874613,0.9306664432,-2.2500606152,0.6570911621,0.2863956096
82.2500000000,7.4160173840,1.7054874613,0.9306664432,2.2500606152,-0.6570911621,-0.2863956096
82.7500000000,5.3703377882,2.5724553929,0.7874686384,1.8412985764,-1.0768447011,-0.2863956096
83.7500000000,2.4274194775,5.5656518732,0.5709327438,1.0773752980,-1.9163517792,-0.1457853459
83.9500000000,2.0320748653,6.3657728680,0.5417756746,0.8993477628,-2.0842531948,-0.1457853459
84.0500000000,1.8611066895,6.7910185777,0.5271971400,0.8103339951,-2.1682039026,-0.1457853459
84.2500000000,1.5725785985,7.6918804219,0.4980400708,0.6323064599,-2.3361053182,-0.1457853459
84.7500000000,1.5725785985,7.6918804219,0.4980400708,-0.6323064599,2.3361053182,0.1457853459
85.0000000000,1.9443654332,6.5762969551,0.5344864073,-0.8548408790,2.1262285487,0.1457853459
85.2500000000,2.4274194775,5.5656518732,0.5709327438,-1.0773752980,1.9163517792,0.1457853459
86.2500000000,5.3703377882,2.5724553929,0.7874686384,-1.8412985764,1.0768447011,0.2863956096
86.4500000000,6.1395581819,2.1752977956,0.8447477604,-2.0048033919,0.9089432855,0.2863956096
86.5500000000,6.5486941010,2.0019042093,0.8733873213,-2.0865557997,0.8249925777,0.2863956096
86.7500000000,7.4160173840,1.7054874613,0.9306664432,-2.2500606152,0.6570911621,0.2863956096
87.2500000000,7.4160173840,1.7054874613,0.9306664432,2.2500606152,-0.6570911621,-0.2863956096
87.7500000000,5.3703377882,2.5724553929,0.7874686384,1.8412985764,-1.0768447011,-0.2863956096
88.7500000000,2.4274194775,5.5656518732,0.5709327438,1.0773752980,-1.9163517792,-0.1457853459
88.9500000000,2.0320748653,6.3657728680,0.5417756746,0.8993477628,-2.0842531948,-0.1457853459
89.0500000000,1.8611066895,6.7910185777,0.5271971400,0.8103339951,-2.1682039026,-0.1457853459
89.2500000000,1.5725785985,7.6918804219,0.4980400708,0.6323064599,-2.3361053182,-0.1457853459
89.7500000000,1.5725785985,7.6918804219,0.4980400708,-0.6323064599,2.3361053182,0.1457853459
90.0000000000,1.9443654332,6.5762969551,0.5344864073,-0.8548408790,2.1262285487,0.1457853459
90.2500000000,2.4274194775,5.5656518732,0.5709327438,-1.0773752980,1.9163517792,0.1457853459
91.2500000000,5.3703377882,2.5724553929,0.7874686384,-1.8412985764,1.0768447011,0.2863956096
91.4500000000,6.1395581819,2.1752977956,0.8447477604,-2.0048033919,0.9089432855,0.2863956096
91.5500000000,6.5486941010,2.0019042093,0.8733873213,-2.0865557997,0.8249925777,0.2863956096
91.7500000000,7.4160173840,1.7054874613,0.9306664432,-2.2500606152,0.6570911621,0.2863956096
92.2500000000,7.4160173840,1.7054874613,0.9306664432,2.2500606152,-0.6570911621,-0.2863956096
92.7500000000,5.3703377882,2.5724553929,0.7874686384,1.8412985764,-1.0768447011,-0.2863956096
93.7500000000,2.4274194775,5.5656518732,0.5709327438,1.0773752980,-1.9163517792,-0.1457853459
93.9500000000,2.0320748653,6.3657728680,0.5417756746,0.8993477628,-2.0842531948,-0.1457853459
94.0500000000,1.8611066895,6.7910185777,0.5271971400,0.8103339951,-2.1682039026,-0.1457853459
94.2500000000,1.5725785985,7.6918804219,0.4980400708,0.6323064599,-2.3361053182,-0.1457853459
94.7500000000,1.5725785985,7.6918804219,0.4980400708,-0.6323064599,2.3361053182,0.1457853459
95.0000000000,1.9443654332,6.5762969551,0.5344864073,-0.8548408790,2.1262285487,0.1457853459
95.2500000000,2.4274194775,5.5656518732,0.5709327438,-1.0773752980,1.9163517792,0.1457853459
96.2500000000,5.3703377882,2.5724553929,0.7874686384,-1.8412985764,1.0768447011,0.2863956096
96.4500000000,6.1395581819,2.1752977956,0.8447477604,-2.0048033919,0.9089432855,0.2863956096
96.5500000000,6.5486941010,2.0019042093,0.8733873213,-2.0865557997,0.8249925777,0.2863956096
96.7500000000,7.4160173840,1.7054874613,0.9306664432,-2.2500606152,0.6570911621,0.2863956096
97.2500000000,7.4160173840,1.7054874613,0.9306664432,2.2500606152,-0.6570911621,-0.2863956096
97.7500000000,5.3703377882,2.5724553929,0.7874686384,1.8412985764,-1.0768447011,-0.2863956096
98.7500000000,2.4274194775,5.5656518732,0.5709327438,1.0773752980,-1.9163517792,-0.1457853459
98.9500000000,2.0320748653,6.3657728680,0.5417756746,0.8993477628,-2.0842531948,-0.1457853459
99.0500000000,1.8611066895,6.7910185777,0.5271971400,0.8103339951,-2.1682039026,-0.1457853459
99.2500000000,1.5725785985,7.6918804219,0.4980400708,0.6323064599,-2.3361053182,-0.1457853459
99.7500000000,1.5725785985,7.6918804219,0.4980400708,-0.6323064599,2.3361053182,0.1457853459
100.0000000000,1.9443654332,6.5762969551,0.5344864073,-0.8548408790,2.1262285487,0.1457853459
